Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
12,Ehire Adrianza#,32,WSN,NL,31,94,84,5,15,2,0,0,7,1,0,8,22,0.179,0.255,0.202,0.458,36,17,2,1,0,1,0,5/7H46D1,adriaeh01
13,Ehire Adrianza#,32,ATL,NL,5,11,8,3,1,1,0,0,0,0,0,3,2,0.125,0.364,0.25,0.614,75,2,0,0,0,0,0,/46,adriaeh01
14,Jesus Aguilar,32,TOT,MLB,119,474,433,37,99,18,0,15,49,1,0,27,112,0.229,0.277,0.374,0.651,82,162,8,4,0,5,1,3D/H5,aguilje01
15,Jesus Aguilar,32,MIA,NL,113,456,415,37,98,18,0,15,49,1,0,27,106,0.236,0.286,0.388,0.674,88,161,8,4,0,5,1,3D/H5,aguilje01
16,Jesus Aguilar,32,BAL,AL,6,18,18,0,1,0,0,0,0,0,0,0,6,0.056,0.056,0.056,0.111,-68,1,0,0,0,0,0,/D3H,aguilje01
17,Ryan Aguilar*,27,LAA,AL,7,26,22,2,3,1,0,0,2,0,0,2,14,0.136,0.231,0.182,0.413,20,4,0,1,0,1,0,/9738,aguilry01
18,Nick Ahmed,32,ARI,NL,17,54,52,7,12,2,0,3,7,0,1,2,15,0.231,0.259,0.442,0.702,94,23,2,0,0,0,0,6/HD,ahmedni01
19,Hanser Alberto,29,LAD,NL,65,141,139,12,32,8,2,2,14,0,1,2,24,0.23,0.241,0.36,0.601,62,50,6,0,0,0,0,4H5/1D369,alberha01
20,Ozzie Albies#,25,ATL,NL,62,263,242,34,59,15,0,8,33,3,5,15,46,0.244,0.289,0.405,0.694,90,98,0,2,0,4,0,4/H,albieoz01
21,Sergio Alcantara#,25,TOT,NL,76,172,157,21,34,6,1,4,19,0,2,9,41,0.217,0.259,0.344,0.603,70,54,3,1,2,3,0,546H/D,alcanse01
22,Sergio Alcantara#,25,ARI,NL,54,134,122,18,30,6,1,4,16,0,0,7,29,0.246,0.288,0.41,0.698,95,50,3,1,2,2,0,546/HD,alcanse01
23,Sergio Alcantara#,25,SDP,NL,22,38,35,3,4,0,0,0,3,0,2,2,12,0.114,0.158,0.114,0.272,-19,4,0,0,0,1,0,/645HD,alcanse01
24,Jorge Alfaro,29,SDP,NL,74,262,245,25,61,13,0,7,38,1,0,10,92,0.249,0.286,0.388,0.674,93,95,5,4,0,3,0,2D/H,alfarjo01
25,Anthony Alford,27,PIT,NL,2,4,4,0,1,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5,42,1,0,0,0,0,0,/879,alforan01
26,Austin Allen*,28,OAK,AL,5,16,14,1,1,0,0,0,0,0,0,1,9,0.071,0.188,0.071,0.259,-20,1,1,1,0,0,0,/2D,allenau01
27,Greg Allen#,29,PIT,NL,40,118,104,15,21,4,0,2,7,8,1,9,34,0.202,0.278,0.298,0.576,63,31,2,2,3,0,0,798/HD,allengr01
28,Nick Allen,23,OAK,AL,81,259,239,24,49,11,0,3,13,1,2,14,52,0.205,0.252,0.289,0.541,58,69,5,1,5,0,0,46/H,allenni02
29,Abraham Almonte#,33,BOS,AL,2,4,4,2,2,0,0,0,1,0,0,0,1,0.5,0.5,0.5,1,180,2,1,0,0,0,0,/7H,almonab01
30,Albert Almora,28,CIN,NL,64,235,215,26,48,10,1,5,29,3,2,17,46,0.223,0.282,0.349,0.631,70,75,9,1,1,1,0,987/HD,almoral01
31,Pete Alonso,27,NYM,NL,142,607,533,77,143,24,0,34,110,3,1,56,117,0.268,0.344,0.505,0.849,139,269,16,10,0,8,14,*3D,alonspe01
